COD_A;nome;relação;COD_A_R;;Legenda;
;;;;;1;é precedida por
;;;;;2;inicia depois do fim de
;;;;;3;termina antes do inicio de
;;;;;4;termina com
;;;;;5;inicia com
;;;;;6;ocorre durante
;;;;;7;impede a
;;;;;8;permite a
